noise_level,target_contribution_pct,clear_same_accuracy,clear_diff_accuracy,clear_overall_accuracy,noisy_same_accuracy,noisy_diff_accuracy,noisy_overall_accuracy,CRITICAL_METRIC_noisy_different,priming_benefit_noisy,priming_benefit_clear,n_clear_same,n_clear_diff,n_noisy_same,n_noisy_diff
20,4.761904761904762,98.9795918367347,98.44559585492227,98.62542955326461,87.24489795918367,1.5873015873015872,30.836236933797913,1.5873015873015872,85.6575963718821,0.5339959818124242,196,386,196,378
25,3.8461538461538463,98.9795918367347,98.44559585492227,98.62542955326461,91.83673469387756,1.3227513227513228,32.22996515679443,1.3227513227513228,90.51398337112624,0.5339959818124242,196,386,196,378
30,3.225806451612903,98.9795918367347,98.44559585492227,98.62542955326461,96.42857142857143,0.26455026455026454,33.10104529616725,0.26455026455026454,96.16402116402116,0.5339959818124242,196,386,196,378
35,2.7777777777777777,98.9795918367347,98.44559585492227,98.62542955326461,95.91836734693877,0.26455026455026454,32.926829268292686,0.26455026455026454,95.6538170823885,0.5339959818124242,196,386,196,378
40,2.4390243902439024,98.9795918367347,98.44559585492227,98.62542955326461,95.91836734693877,0.0,32.752613240418114,0.0,95.91836734693877,0.5339959818124242,196,386,196,378
45,2.1739130434782608,98.9795918367347,98.44559585492227,98.62542955326461,97.44897959183673,0.0,33.27526132404181,0.0,97.44897959183673,0.5339959818124242,196,386,196,378
50,1.9607843137254901,98.9795918367347,98.44559585492227,98.62542955326461,97.95918367346938,0.0,33.44947735191638,0.0,97.95918367346938,0.5339959818124242,196,386,196,378
