Word,ONsize,Frequency,NumSemFeats
drum,1,0.04203488,9
live,11,0.070983246,2
meek,7,0.029668292,9
tick,10,0.0408272,10
solo,4,0.042106874,5
raft,4,0.03745433,7
doll,8,0.05040766,5
brie,2,0.02467738,10
stub,4,0.025161535,4
gnat,2,0.019090729,6
knew,3,0.07151779,5
dash,10,0.039398137,5
good,8,0.08680909,12
lump,8,0.035260346,4
fret,2,0.030260434,1
hang,8,0.064363495,5
wish,6,0.06799553,10
deep,9,0.0592088,5
frog,2,0.044635627,14
wept,4,0.028010655,8
fawn,4,0.022807365,8
sect,2,0.023016144,9
sled,6,0.033748493,7
hula,2,0.030656395,10
veto,0,0.02467738,6
free,3,0.06579975,5
puss,5,0.033748493,13
reed,12,0.042592827,5
bunt,9,0.023797268,10
disc,3,0.03274959,5
fade,8,0.038820397,5
pail,12,0.02500315,8
dill,13,0.029841075,9
foot,12,0.05793812,10
toga,1,0.024841165,6
rend,10,0.016727561,6
true,1,0.06857868,5
sank,10,0.031394325,3
thug,3,0.035130758,11
noel,0,0.04828207,11
stew,6,0.039887693,7
room,8,0.072885655,15
curb,4,0.036378033,8
posh,6,0.027330322,6
foam,3,0.035173953,7
rude,6,0.04950415,6
fart,10,0.039887693,6
nope,11,0.053101998,4
mike,11,0.062192906,10
kite,5,0.031873077,6
word,10,0.068009935,13
atom,1,0.03326434,9
hire,9,0.050645236,10
less,3,0.062137112,5
lord,7,0.06383974,9
pier,2,0.040028077,8
soul,4,0.05926819,7
rich,1,0.05960836,9
dole,14,0.025161535,8
bide,10,0.020903151,4
leap,6,0.040168464,5
loaf,3,0.03705477,8
tape,9,0.058397077,8
stay,7,0.074132934,3
drop,3,0.06340059,6
plop,9,0.024162631,5
lane,13,0.052747432,7
memo,1,0.04009827,8
vane,8,0.016727561,4
fork,9,0.042353448,8
weep,8,0.03865481,6
face,10,0.06961178,9
eyes,2,0.06753118,10
duly,3,0.027791077,4
link,10,0.044713017,8
rung,7,0.028010655,7
calm,4,0.06040568,9
dolt,6,0.02062958,8
soap,6,0.046595633,9
haul,3,0.040634617,3
pair,5,0.053598747,4
mars,3,0.043703318,8
eave,8,0.008588758,6
goal,3,0.04735336,6
very,2,0.08099926,7
barn,10,0.04572272,8
punk,11,0.049477153,10
sill,13,0.019423697,7
wool,6,0.034349635,9
fowl,8,0.022593185,12
rasp,4,0.008588758,10
lens,3,0.037389535,9
bark,13,0.03865481,5
east,8,0.05582693,7
scab,7,0.021912852,8
germ,2,0.027211534,12
dibs,2,0.03193787,4
prep,3,0.041136768,2
wait,7,0.07785677,6
blur,2,0.03132413,6
knee,1,0.04632926,8
icky,1,0.02684257,4
veal,9,0.035260346,10
dojo,0,0.02467738,6
grip,6,0.04308058,2
jaws,0,0.03286658,7
puff,4,0.03702057,2
gown,3,0.040028077,7
racy,3,0.025161535,5
lost,10,0.06919242,7
lark,8,0.029216537,10
grey,3,0.042675618,6
verb,2,0.025906662,12
team,7,0.06435629,8
exam,0,0.04562013,8
fest,13,0.027791077,10
pane,13,0.019742265,10
worm,9,0.043420743,8
coax,3,0.023797268,3
test,12,0.059959322,11
pawn,5,0.03681359,5
boat,9,0.060978025,14
gram,6,0.032808986,7
kilt,7,0.021671677,9
mole,13,0.04164612,8
dean,9,0.05389752,9
code,10,0.056370474,8
long,6,0.07624053,5
both,2,0.06977736,5
rook,10,0.028010655,7
cast,11,0.049876712,9
bone,14,0.050807223,10
zeal,7,0.021671677,8
quad,0,0.028834974,7
anal,0,0.03315275,6
sane,16,0.03868181,8
feat,11,0.028735984,5
slab,11,0.030177642,6
damn,4,0.06945879,10
boil,6,0.039270353,9
torn,8,0.04396069,5
gaze,8,0.032629002,7
