Word,ONsize,Frequency,NumSemFeats
barn,10,0.04572272,8
yank,4,0.03745433,4
jinx,0,0.036190853,4
wisp,5,0.018743362,5
perm,3,0.025467504,8
poll,8,0.032508414,8
cork,9,0.03359011,12
drum,1,0.04203488,9
lice,12,0.03132413,10
blab,4,0.021167725,4
vile,10,0.036986377,6
self,2,0.046041287,9
quad,0,0.028834974,7
wean,7,0.015210309,5
mead,10,0.025762675,10
drag,4,0.05092241,6
rend,10,0.016727561,6
plus,2,0.055420168,7
duet,4,0.02744911,7
mill,14,0.04295279,7
fled,6,0.03691798,4
gory,1,0.023016144,5
ripe,9,0.036525622,7
hurl,3,0.027791077,4
spay,8,0.00979284,9
slap,12,0.045051385,6
shed,3,0.044059683,11
liar,0,0.053141594,6
lent,13,0.035636507,10
rile,13,0.017175717,6
wasp,5,0.028224833,8
ward,12,0.04609528,6
chin,5,0.04518637,6
dome,12,0.030656395,8
fart,10,0.039887693,6
main,7,0.05466964,4
july,2,0.04480301,11
leer,6,0.020345205,3
port,10,0.04624467,8
racy,3,0.025161535,5
hula,2,0.030656395,10
chew,3,0.04255863,5
toke,10,0.023797268,6
fool,10,0.060432676,6
hemp,4,0.017175717,11
dove,12,0.0387646,10
coax,3,0.023797268,3
free,3,0.06579975,5
spam,9,0.026586995,11
menu,1,0.043298356,6
evil,0,0.05887043,4
luau,0,0.028834974,8
loop,8,0.04028185,8
palm,3,0.04551574,1
hint,6,0.042675618,9
gall,11,0.030733788,3
vise,8,0.018379798,8
woof,7,0.033320136,7
lack,13,0.047805116,6
heir,2,0.038255252,3
twin,3,0.04365832,6
purr,2,0.023417505,5
cane,15,0.041907094,5
clay,7,0.044752613,7
soft,5,0.052416265,4
bide,10,0.020903151,4
fuss,3,0.04069941,5
heal,13,0.04430626,10
dill,13,0.029841075,9
rasp,4,0.008588758,10
mutt,5,0.03611346,8
wick,9,0.03256961,9
clog,3,0.023797268,8
sack,11,0.045328557,9
cure,11,0.04906139,9
peed,11,0.032924175,2
news,1,0.06521301,12
mast,13,0.029216537,6
tyke,4,0.02062958,4
grid,6,0.038710605,8
bout,5,0.048379257,7
haul,3,0.040634617,3
rear,16,0.045027986,3
verb,2,0.025906662,12
goon,9,0.031806484,4
crop,6,0.037709903,8
blog,5,0.02214683,11
frat,5,0.03430104,12
inch,1,0.04499019,7
warn,11,0.05059124,6
aqua,0,0.027902665,5
high,2,0.06653228,5
carp,7,0.023417505,6
pimp,5,0.042177066,4
earn,5,0.046674825,6
posy,6,0.012580767,6
kelp,3,0.027090944,8
corn,9,0.046073686,8
mild,7,0.037614513,4
slit,10,0.03579849,4
pump,10,0.045161173,7
soup,4,0.050542645,9
toil,7,0.025467504,8
cowl,7,0.008588758,8
link,10,0.044713017,8
gulp,3,0.025316318,4
envy,0,0.04296899,6
sass,4,0.024841165,5
acne,2,0.02467738,11
cuss,3,0.025906662,8
turf,3,0.036705602,7
hive,9,0.025316318,6
rift,6,0.026047047,5
poor,5,0.0633088,8
hunk,12,0.03816706,3
pane,13,0.019742265,10
dose,12,0.03837224,8
mono,1,0.023016144,12
stub,4,0.025161535,4
poof,7,0.031394325,4
worn,11,0.043390147,8
plug,3,0.04364392,13
john,1,0.066480085,8
jowl,4,0.007163298,6
lion,1,0.046674825,16
flew,7,0.046694625,6
numb,1,0.037740503,4
yarn,6,0.029027555,14
peak,7,0.039270353,8
slur,6,0.019742265,4
quiz,2,0.037834093,10
goes,1,0.0673782,4
germ,2,0.027211534,12
math,8,0.047185976,13
bile,11,0.023610087,11
gape,9,0.0054192687,6
beep,11,0.039981283,6
rate,14,0.050458055,7
oath,4,0.043237165,7
stag,7,0.029027555,8
tray,4,0.04162632,11
mice,11,0.040051475,10
newt,4,0.027677687,10
musk,8,0.02062958,10
dyer,2,0.019742265,7
gimp,3,0.02500315,8
ammo,0,0.038485628,9
bolt,9,0.04041504,8
unto,3,0.04121776,4
punt,10,0.023016144,8
mode,9,0.03816706,5
pail,12,0.02500315,8
oxen,3,0.019090729,10
hull,13,0.036599413,7
hush,9,0.041196164,4
balk,11,0.0054192687,6
loaf,3,0.03705477,8
babe,5,0.053236984,9
blip,3,0.023797268,3
bean,13,0.040371843,7
horn,5,0.049149584,2
anus,0,0.026185634,8
gill,12,0.029580101,8
pose,12,0.04032685,7
josh,2,0.04888321,5
gaze,8,0.032629002,7
cram,4,0.028636994,6
mend,10,0.03286658,7
dusk,8,0.02684257,14
void,0,0.036378033,7
bunk,12,0.03969511,9
noon,8,0.0479671,5
auto,1,0.041257355,12
boon,10,0.03125214,8
warp,10,0.03865481,7
flap,9,0.03298177,3
clue,3,0.04774572,7
coed,2,0.0214251,6
stir,1,0.039218158,9
iced,0,0.036705602,6
flop,7,0.03193787,7
blot,7,0.02500315,7
hike,8,0.040004678,9
ahem,1,0.041257355,5
harm,6,0.05235867,6
lust,10,0.0387646,3
pore,17,0.019742265,10
saga,1,0.023610087,8
pike,10,0.03725815,9
rung,7,0.028010655,7
tied,2,0.051008802,3
holy,2,0.058316085,10
spur,5,0.028224833,8
wiry,3,0.017598676,4
tony,5,0.05837908,4
fond,9,0.044964995,4
mull,10,0.019742265,6
tube,4,0.047205772,8
tush,8,0.02744911,9
baby,1,0.074037544,7
fish,3,0.05990353,14
tree,4,0.05794712,15
neck,3,0.05725779,5
dogs,2,0.056356076,10
bird,1,0.055151995,11
bike,9,0.050753225,14
doll,8,0.05040766,5
sand,9,0.04885441,9
cage,12,0.048845414,9
knee,1,0.04632926,8
goat,6,0.043732114,10
mule,7,0.040569823,7
comb,5,0.039423335,8
vase,6,0.035879485,9
fern,0,0.034445025,9
sled,6,0.033748493,7
kite,5,0.031873077,6
hair,5,0.06466586,6
suit,5,0.05837008,11
arms,2,0.057295583,9
rain,7,0.055724338,8
shoe,3,0.052007705,12
soda,1,0.04867803,13
lamp,8,0.04530516,11
oven,5,0.042405643,13
bell,13,0.054021705,5
gate,12,0.052419864,6
tail,12,0.050132286,7
mask,7,0.04866363,8
tent,14,0.047693525,8
cave,16,0.0459441,7
swan,8,0.040348444,15
colt,10,0.03828405,8
cafe,9,0.038017675,10
mayo,0,0.034587212,14
beak,9,0.031180145,4
lint,8,0.027677687,7
boat,9,0.060978025,14
nail,10,0.048192076,8
soap,6,0.046595633,9
lawn,4,0.04497759,5
fist,5,0.04093159,7
text,4,0.03828405,10
taco,2,0.03420385,11
pear,13,0.027677687,10
milk,5,0.054633647,12
leek,8,0.016254207,9
rock,9,0.060150106,5
sock,11,0.042490236,8
card,9,0.060083512,7
tape,9,0.058397077,8
foot,12,0.05793812,10
rose,12,0.056356076,11
moon,8,0.055891722,10
meat,12,0.054835226,11
page,8,0.053647343,10
bone,14,0.050807223,10
belt,10,0.05027807,9
dish,6,0.04438725,16
worm,9,0.043420743,8
fork,9,0.042353448,8
pony,5,0.041683916,11
crab,5,0.040438436,7
pond,3,0.0397671,9
sofa,2,0.039165962,10
bead,12,0.026320621,9
nose,10,0.05849787,11
salt,4,0.048546642,8
coin,5,0.043127373,5
cart,10,0.042540632,9
tuna,2,0.041588522,12
clam,8,0.036036067,11
flea,5,0.034725796,8
hoof,8,0.029668292,13
wart,16,0.027090944,7
beer,11,0.059117008,12
lake,13,0.053330574,9
pipe,6,0.048498046,6
hood,9,0.046694625,6
hare,16,0.03583989,8
face,10,0.06961178,9
ship,8,0.0612264,10
desk,3,0.05488022,8
bowl,6,0.04928637,9
knot,4,0.035555515,4
wall,10,0.05860226,6
dirt,3,0.050693832,5
wing,9,0.048831016,6
rice,12,0.04653444,7
nest,12,0.044142473,7
dice,11,0.04367272,11
deer,11,0.04224906,10
heel,7,0.040972985,6
wool,6,0.034349635,9
shin,7,0.034155253,6
cone,15,0.033748493,10
tofu,0,0.033096958,10
tuba,2,0.02684257,9
husk,6,0.018743362,8
girl,1,0.074737675,6
eyes,2,0.06753118,10
snow,6,0.05225068,11
bath,6,0.052193087,10
bull,12,0.05123018,8
wood,7,0.051082592,10
lace,11,0.03559691,11
foam,3,0.035173953,7
plum,5,0.034952573,12
disc,3,0.03274959,5
tarp,4,0.025316318,8
bomb,4,0.056447867,8
rake,14,0.03390328,7
jail,10,0.058596857,5
mall,13,0.048298266,9
claw,7,0.036881987,10
gnat,2,0.019090729,6
yoke,5,0.019090729,5
yard,5,0.05050125,12
lung,5,0.041815303,11
lava,1,0.035042565,6
door,3,0.06969097,11
ring,10,0.06072605,9
gold,9,0.059466172,13
hole,11,0.057086807,4
mace,12,0.035130758,5
rump,8,0.028118644,5
food,9,0.064710855,5
tank,7,0.050670434,6
jeep,7,0.043541335,9
boar,4,0.031464517,11
beet,10,0.015750257,10
body,3,0.066553876,10
city,2,0.06541999,10
skin,7,0.05490542,14
hook,12,0.053753532,7
roof,7,0.05325318,10
wolf,2,0.048845414,8
flag,6,0.047693525,9
cola,3,0.038710605,15
oats,3,0.031034358,11
pool,8,0.05541117,10
deck,6,0.05008729,15
ruby,0,0.04468782,11
cape,13,0.041815303,2
bats,4,0.039423335,11
mitt,4,0.027902665,7
tusk,6,0.015210309,8
road,5,0.062194705,11
butt,4,0.053868722,8
veal,9,0.035260346,10
knob,3,0.032386027,4
park,9,0.05875884,6
beef,6,0.048624035,13
sink,12,0.047434352,8
duct,3,0.03430104,7
piss,6,0.050027896,7
tomb,3,0.038847394,7
wand,8,0.034155253,6
toga,1,0.024841165,6
mane,15,0.0214251,2
hand,7,0.0693508,11
fort,10,0.04671442,7
bees,5,0.038429834,13
film,3,0.057977717,13
chip,7,0.0489732,9
spit,7,0.048483647,8
pope,11,0.043861702,6
seed,15,0.041156568,8
scab,7,0.021912852,8
silt,9,0.017175717,6
army,1,0.06010691,11
limo,4,0.04203488,9
reef,4,0.036190853,8
gong,6,0.032323033,8
star,9,0.05970015,13
bald,6,0.043112975,6
ramp,7,0.033644103,10
moth,4,0.031806484,12
moat,7,0.026714781,8
fire,10,0.0673134,10
band,10,0.056413673,9
whip,5,0.045470744,10
tile,12,0.03125214,8
axes,4,0.022593185,11
buck,11,0.05282482,11
sash,10,0.026455607,4
lane,13,0.052747432,7
pole,13,0.04512518,3
coal,7,0.040051475,11
mike,11,0.062192906,10
lock,12,0.05686183,9
town,3,0.068409495,11
jury,3,0.054676842,10
maid,6,0.049770523,8
dock,11,0.043127373,6
slug,6,0.03786469,11
lens,3,0.037389535,9
slaw,9,0.017175717,10
seal,11,0.046359856,10
dent,11,0.035217147,5
meth,4,0.03206926,13
stem,4,0.031671498,9
sign,1,0.06355897,6
meal,10,0.051604543,11
rash,11,0.04162632,12
pier,2,0.040028077,8
kids,2,0.06992855,6
note,7,0.05643347,8
gown,3,0.040028077,7
peel,8,0.03845863,6
tool,8,0.0438905,8
farm,6,0.051915914,10
iron,1,0.047891505,7
puke,5,0.039669912,10
arch,0,0.035555515,9
sill,13,0.019423697,7
mink,13,0.03559691,9
land,9,0.060324688,5
surf,3,0.0397923,7
cove,11,0.034587212,10
deli,1,0.03125214,7
malt,6,0.029308328,9
buoy,2,0.026714781,6
gift,4,0.057887726,9
tear,15,0.051082592,8
site,8,0.048427854,11
vent,10,0.03695218,8
lump,8,0.035260346,4
rink,11,0.03132413,7
coil,8,0.029122947,5
wave,14,0.049214378,11
fuse,4,0.037709903,11
step,4,0.06265186,7
iris,0,0.03837224,8
dike,12,0.018743362,9
yoga,2,0.03702057,12
jump,6,0.058506865,5
golf,4,0.050645236,11
vest,11,0.0387646,11
bark,13,0.03865481,5
axel,2,0.032808986,7
rust,11,0.032508414,10
honk,6,0.032197043,4
barb,5,0.03193787,6
mist,8,0.035260346,7
loot,14,0.035260346,8
puck,12,0.033644103,10
axle,1,0.027090944,4
