word,cosine_similarity,clean_norm,noisy_norm
contents,0.4350834,36.560543,22.485708
context,0.44034818,39.73112,27.953472
contract,0.4789005,37.82457,20.225822
control,0.6952209,35.369102,24.963724
convent,0.45645505,44.21931,13.025308
copper,0.6279297,21.36918,15.078595
corner,0.58823276,39.379265,26.965132
costume,0.7213861,24.437757,16.546135
cottage,0.6221277,33.608368,21.593098
cotton,0.7141311,24.142872,12.326387
council,0.5035399,28.280214,11.377309
courage,0.7235015,27.809572,23.318243
cousin,0.5992329,31.211134,19.394363
cover,0.69410384,26.103516,18.292152
cowboy,0.67812085,32.89957,28.713032
cradle,0.567456,47.32936,33.421093
creature,0.49198532,36.950016,24.181042
crisis,0.5604223,28.35279,18.325193
cruiser,0.4074448,38.44956,19.591013
crystal,0.65307885,32.326054,18.143234
culture,0.6659741,31.975292,21.939625
curfew,0.58603567,32.591507,18.503824
curler,0.607994,36.11782,24.490417
current,0.67302233,28.412779,18.557428
custard,0.62823427,29.857552,16.434092
custom,0.69398326,22.61487,21.761278
cynic,0.43810582,23.903687,17.538439
dagger,0.7204925,29.990149,23.004383
dairy,0.616847,30.948374,25.516132
daisy,0.43924692,27.676588,18.038372
damage,0.489738,33.491302,23.122343
dancer,0.4859548,34.01541,17.019974
dandruff,0.5420522,36.403347,29.526136
danger,0.3599177,33.011242,12.41785
daylight,0.59085804,22.430027,23.912066
debate,0.6735233,26.469383,17.87289
decay,0.6859377,19.715422,13.42571
defeat,0.40250772,29.027382,13.961715
degree,0.4984929,36.62064,27.0823
delight,0.6466595,30.244715,21.494137
dentist,0.5087958,29.491222,16.444017
design,0.5721513,23.64597,20.514301
despair,0.67708623,31.759418,27.864878
device,0.6478887,25.49143,21.545668
devil,0.7088797,28.643839,19.225718
dial,0.74965537,27.572151,24.981722
diet,0.7072163,28.924828,22.338245
difference,0.6340725,22.823307,17.113947
dinner,0.52335775,30.22363,20.943943
disease,0.32509097,36.688217,15.559851
disgrace,0.62335986,22.591747,22.79997
display,0.67786807,22.08239,15.53663
dispute,0.55172247,41.373886,27.86447
distance,0.5560021,26.459085,24.952925
distress,0.7257466,17.572714,17.771158
doctor,0.67679626,25.906153,18.976274
dollar,0.75229985,34.76916,17.375538
donor,0.51077056,24.189487,20.069643
doorway,0.6624388,46.022144,26.291546
dozen,0.6666694,25.624304,19.22398
drama,0.5763256,30.026478,20.877298
dreamer,0.38299844,52.300976,28.870405
dresser,0.66183716,31.947668,22.313736
driver,0.6873022,27.862959,19.703598
drizzle,0.58888775,39.0269,26.244709
dropper,0.6542618,34.693237,21.586817
drunkard,0.5372696,40.357433,28.678219
dummy,0.5219765,30.127207,23.512978
duty,0.35134363,37.869274,16.93251
eagle,0.5996874,27.570574,15.315578
earthworm,0.5679179,31.204273,20.130934
echo,0.65754515,28.737206,17.086718
effect,0.84351784,14.824339,13.344663
effort,0.63078105,23.536274,14.521566
ego,0.45353097,29.558868,16.501322
elbow,0.5745096,32.759735,21.689678
empty,0.4715016,30.043077,21.47262
engine,0.36244404,41.45976,22.448586
entrance,0.42850772,32.47193,19.663992
entry,0.42018485,34.08846,20.832373
envy,0.36941275,32.30575,19.517138
equal,0.61936224,31.26399,19.35156
error,0.6818838,30.32799,20.77505
escape,0.49828026,22.286009,15.474611
essay,0.5992658,22.899107,18.61866
estate,0.6438762,15.499795,17.83385
even,0.37234733,39.14277,21.966528
evening,0.35255918,44.20694,22.374077
event,0.57517695,22.011293,11.718599
evil,0.43520752,32.647045,21.298948
exchange,0.5384983,19.536995,15.022925
excuse,0.49528122,29.151073,23.67593
exhaust,0.6500115,20.520027,16.78991
exit,0.65468067,26.83235,25.45247
express,0.6880297,16.715202,20.147055
extent,0.7222473,24.375296,23.123817
extra,0.7278197,16.192577,21.954353
extreme,0.3916386,35.50361,25.901958
fabric,0.74510485,27.994741,18.774712
factor,0.7420415,18.62977,16.839712
failure,0.6000143,41.382057,27.637014
fairy,0.62931037,33.507923,26.13155
fancy,0.47403166,21.307804,13.831542
fashion,0.7317098,21.739376,16.129827
father,0.7151603,29.796003,21.529787
fatigue,0.47800604,16.16299,7.683961
feather,0.7181085,24.237255,19.048628
feeling,0.5092397,35.76248,26.02073
fellow,0.70176804,31.84279,21.371891
ferry,0.6624355,30.538761,23.466549
fever,0.46272567,28.257349,23.289146
fiddle,0.58245236,28.65787,25.338865
fifteen,0.5298881,26.047022,17.70123
figure,0.6799719,25.035242,18.757526
filter,0.51186657,35.094254,26.761139
finance,0.5080149,27.853361,14.520814
finish,0.50959057,27.412111,18.5896
fire,0.7302338,23.838177,14.791951
flannel,0.52075946,42.511272,32.38436
flashlight,0.6370591,36.530537,21.68077
flicker,0.571508,30.236818,18.969244
flower,0.7579536,30.27184,21.4606
football,0.781621,31.782644,23.448359
footstep,0.6944424,20.468908,21.247786
forearm,0.6755868,38.6266,23.432175
forecast,0.6122428,30.685488,24.831974
forehead,0.5628659,37.492855,28.13954
forest,0.7159862,31.836653,29.954285
format,0.58384186,41.831066,28.517052
former,0.60347766,35.225483,17.217266
fortune,0.61673266,42.530983,25.417023
forward,0.6598303,35.86994,21.331596
fountain,0.41839013,17.345112,15.896366
freedom,0.44907826,44.761883,22.367374
friction,0.58065605,31.101414,25.56726
friendship,0.510939,35.22171,25.89466
function,0.48385355,37.584007,24.29195
future,0.33481723,44.94165,15.253402
gallon,0.6603623,24.819435,20.086382
garlic,0.6934235,43.753925,29.973616
gender,0.62438923,30.610647,15.165489
genius,0.37383816,43.97408,26.3717
gesture,0.70979816,21.686556,19.269888
giant,0.6484198,19.20702,13.207705
ginger,0.41837078,30.153694,12.581675
girdle,0.6578719,46.57733,29.1993
glory,0.58974075,36.09346,28.57977
grammar,0.6169894,36.781673,27.231312
granny,0.5194614,38.415173,20.592997
gravel,0.6924215,36.475883,23.687582
gravy,0.5489015,32.409744,19.184027
grizzly,0.50155455,34.677334,22.881187
grocer,0.6505623,33.77043,22.974285
guitar,0.71105826,33.047382,22.720701
gutter,0.66504824,35.287918,20.268494
hammer,0.5147868,32.789173,20.449612
hamster,0.30874872,39.34282,19.266214
hardship,0.6407743,30.054676,21.36826
hardware,0.6583746,35.195164,20.323065
harvest,0.6122158,33.900505,25.89755
hatchet,0.7444948,30.324417,28.205126
hatred,0.48432752,29.245907,19.227392
havoc,0.73392415,26.62819,13.957233
hazard,0.627578,27.80278,23.406858
heaven,0.6375773,33.89544,19.739254
helmet,0.55867374,39.987,24.12476
hero,0.4652846,37.297665,24.821266
highway,0.62372404,31.713871,22.845955
hobby,0.6520344,25.538658,18.076319
hockey,0.71468633,21.316395,14.689988
hollow,0.73346686,37.120678,23.72876
honey,0.46425378,33.82335,23.559458
honour,0.70633495,24.881033,17.369497
horror,0.69486487,32.569607,22.502317
hotel,0.7385182,31.281801,21.048485
household,0.67564577,32.929043,24.333076
humour,0.37751624,41.771275,21.605082
hunger,0.46296594,38.076077,24.199633
husband,0.50397694,27.847895,10.093333
hygiene,0.5146359,25.02633,16.462053
idea,0.44160616,30.272345,16.063665
ideal,0.5107829,32.699986,23.79786
impact,0.33868673,36.05009,21.662352
import,0.58031344,32.96004,32.083588
impulse,0.32473215,35.675343,14.378157
incense,0.35545394,35.443855,22.345955
incline,0.46913248,37.855865,21.179714
income,0.4103294,35.14383,20.365355
increase,0.33569214,40.011333,26.439537
indian,0.43746096,56.886715,34.56644
infant,0.3527112,34.69917,14.97857
influence,0.36928344,41.967205,25.938526
insect,0.34888938,38.021328,19.030941
inside,0.32665274,40.90848,14.469975
insight,0.38391194,40.53021,14.146741
instance,0.42849708,29.267904,14.751748
instinct,0.3643531,40.82976,19.760677
insult,0.4145662,39.78735,13.343514
interest,0.41849574,37.43503,24.043371
iron,0.56625324,28.303606,21.6483
island,0.5080806,38.298973,26.36167
issue,0.63329464,25.18761,14.486453
item,0.5673049,41.065727,26.153288
ivy,0.55915844,27.634733,20.51181
jacket,0.7521487,19.203453,15.625646
jelly,0.734726,25.478931,21.987898
jersey,0.5204675,31.32431,20.285
jewel,0.65395474,26.387243,20.507599
journal,0.5637934,31.312004,25.504173
judgement,0.62776417,28.756226,19.225163
junction,0.42940345,34.486736,15.781608
junior,0.28942603,51.808468,27.238638
jury,0.58256656,31.260231,25.212652
justice,0.74178004,22.598135,19.065607
keeper,0.45826292,20.784859,11.060867
kernel,0.5034578,43.919926,24.064981
kettle,0.684411,33.89102,21.3793
kingdom,0.33506435,44.93492,26.718407
kitten,0.5763804,23.74356,15.720887
knowledge,0.6806593,35.17523,23.43219
knuckle,0.5373652,27.60856,15.160885
labour,0.4888134,33.80183,16.102427
ladder,0.6538123,40.238724,24.16081
lady,0.4750881,28.66906,15.594604
landscape,0.4681853,42.63015,29.077463
laughter,0.7634467,25.124517,19.759666
laundry,0.5182822,42.295723,20.729696
lawyer,0.7140743,20.188873,20.200113
leader,0.42919698,33.516315,12.331716
leather,0.65341425,33.41107,22.889303
lecture,0.5872044,30.882305,25.666485
lemon,0.5895906,30.555725,18.972506
lesson,0.6173485,15.078076,22.294575
letter,0.53202474,36.139683,19.193731
lettuce,0.60369366,38.75378,23.464521
level,0.621673,37.57879,23.767315
lever,0.6220161,34.65195,24.116222
liar,0.7363073,31.527372,20.852905
lighter,0.6965496,37.740673,24.698927
lightning,0.5661488,30.072767,19.888315
linen,0.49814495,39.748734,25.720055
lion,0.6506719,31.658522,16.522797
liquid,0.5637518,39.510498,30.193865
liquor,0.61894846,28.662092,22.388426
liver,0.5618913,31.345554,22.923027
lizard,0.49246106,35.91823,25.521503
loafer,0.63163257,36.579117,23.195616
lobster,0.7237215,29.895428,22.452772
locker,0.62986404,34.467148,26.032778
lotion,0.6133439,31.0007,20.614775
lumber,0.58850485,39.58907,25.092213
machine,0.5025013,26.933933,18.367193
magic,0.5523759,30.64423,23.533342
magnet,0.54222804,34.81488,14.425843
major,0.4374912,31.792635,19.808487
maker,0.4773006,31.293993,23.27196
mankind,0.41076458,41.88731,23.784163
manner,0.44766942,32.95574,20.228888
mansion,0.37773678,39.928722,26.428493
manure,0.34641406,51.22659,21.579052
many,0.4832252,39.70097,24.944233
maple,0.41064402,35.459183,23.943588
margin,0.5152803,39.130695,25.151234
market,0.584951,42.01208,19.847881
maroon,0.4401348,42.236576,26.113642
marriage,0.5343695,38.233475,23.234669
marvel,0.60260713,49.166218,26.900015
master,0.53671753,24.095018,18.2364
matter,0.6436937,40.04073,23.804165
mattress,0.57001275,27.11936,15.794326
meadow,0.5113975,35.40953,22.341372
measles,0.37734765,52.397385,31.644205
measure,0.53155893,30.432474,20.164362
medal,0.52843565,40.9614,29.364927
medicine,0.47312918,41.425934,27.799791
meeting,0.4246292,50.285374,25.940016
member,0.4564122,41.47315,21.514322
menu,0.44766447,35.088013,18.361835
mercy,0.39608568,36.005947,13.858071
merit,0.4783188,34.129585,27.053164
metal,0.5368873,39.48019,23.560656
method,0.54582447,29.20815,22.798359
midnight,0.48357895,31.283781,20.077486
mileage,0.6250661,30.051662,18.844296
million,0.3946299,42.66863,28.567497
mimic,0.31842142,41.60591,27.37454
miner,0.37205574,40.279396,18.302269
minor,0.39383513,36.22472,18.83778
minute,0.36611962,37.31356,22.95193
mirror,0.43351844,44.476948,24.223703
missile,0.45148873,34.365437,26.322977
mistake,0.5253798,23.322557,20.212227
mister,0.41167253,25.769756,23.612814
mistress,0.43137142,36.897743,19.821592
misuse,0.42612112,39.794327,23.038857
mixer,0.30947056,36.779552,21.893612
mixture,0.5077841,26.191313,21.555342
modern,0.6138834,37.933624,20.399267
moisture,0.4718851,35.70477,15.623745
moment,0.49632725,44.55453,20.687178
money,0.5594439,29.579845,20.359447
monkey,0.49066085,30.52371,21.620508
moonlight,0.2648404,53.630558,33.30604
moral,0.61795837,43.68903,22.701767
morning,0.5107778,49.481075,34.631447
mortal,0.575022,47.48254,28.07266
mortgage,0.47831073,39.238884,28.448326
mother,0.49657252,37.151226,21.800068
motion,0.52020097,31.248522,25.17762
motive,0.43543252,44.718582,26.367224
motor,0.49787766,38.075336,25.698711
mountain,0.48140845,38.02935,19.208172
mouthpiece,0.5573852,27.825218,17.433586
movie,0.34897193,42.658268,14.641283
murder,0.5340664,34.745922,20.268206
muscle,0.58802694,28.728481,17.053457
music,0.39535373,47.643124,25.090733
mustard,0.63076925,33.050785,19.185549
mystic,0.3467182,33.750877,21.237427
napkin,0.4931383,33.2791,16.836372
narrow,0.5822028,37.29512,28.820831
nation,0.42776713,40.082973,24.963625
native,0.41140297,48.344425,26.860487
nature,0.40832755,32.739132,18.870737
navel,0.4016454,37.438072,21.41883
navy,0.35662094,36.136738,17.172228
necklace,0.49063325,28.630562,18.102037
needle,0.45912257,48.535973,23.838863
neglect,0.77766687,24.665213,20.408283
nephew,0.43018377,34.897274,18.453531
neutral,0.6284005,33.38736,25.926311
nickel,0.51148415,32.718548,23.378338
nightfall,0.5984564,27.189861,22.824707
nightgown,0.5649358,33.177734,24.43426
nonsense,0.47271824,32.627396,22.186802
noodle,0.37220708,46.603813,24.512451
notice,0.42663017,34.882168,19.4463
novel,0.6126494,34.721718,20.118036
number,0.40375298,42.91972,15.238758
nursery,0.52616835,36.536102,12.849797
oatmeal,0.69189155,23.936806,16.716824
object,0.7201865,27.151833,19.53303
ocean,0.64708704,21.872732,13.998382
odour,0.5890248,36.94628,17.435143
office,0.76224476,25.06202,17.716347
onion,0.49174187,39.165974,26.137854
opening,0.55638015,36.970173,28.295553
oral,0.6813541,34.442184,29.519379
orange,0.57267624,41.150528,29.702919
orchid,0.5533529,38.268795,32.912407
order,0.5815863,35.543297,18.712097
organ,0.61908644,35.026802,27.798279
other,0.6892335,23.796991,16.568787
outbreak,0.7494977,30.284725,19.948704
outcome,0.6573042,24.570503,20.089777
outfit,0.7771792,23.044128,18.570269
output,0.7020898,23.54355,19.121195
outside,0.7576432,19.946358,27.98058
oven,0.6409212,25.599743,15.475811
owner,0.4755364,34.85169,16.30119
oyster,0.5836855,26.305437,18.989693
