word,cosine_similarity,clean_norm,noisy_norm
sunshine,0.38770616,32.165554,12.031622
supper,0.7274369,22.96803,18.280508
supply,0.7580103,19.098343,12.926158
support,0.7438835,29.13185,23.20948
surface,0.56445265,25.198662,19.863842
surplus,0.5696219,23.936386,17.718203
surprise,0.7873286,18.844145,19.580145
suspect,0.6885942,23.176918,19.150524
symbol,0.5542472,26.821735,18.705095
system,0.587024,27.87525,24.231335
table,0.57019573,34.806557,20.207796
talent,0.6260521,31.805666,20.38574
teacher,0.43608373,30.230375,17.993023
temper,0.50289685,11.403408,19.545387
temple,0.53599286,11.341893,21.086514
tender,0.41963565,40.492794,24.967989
tennis,0.4741077,33.30953,20.914373
terror,0.6148943,36.49068,27.488127
theory,0.56497794,30.483486,23.999731
thinker,0.51697695,23.563454,16.49605
thistle,0.5811288,25.405727,22.790314
thunder,0.5997673,25.448967,20.473671
ticket,0.5322452,28.887938,23.985004
tidy,0.48847777,32.52668,22.967806
tiger,0.60987985,25.278107,21.932646
tire,0.71326315,26.181616,15.583984
title,0.62824434,36.421806,26.904234
toaster,0.6191039,29.48025,21.364986
toilet,0.71937746,26.05349,20.864763
token,0.59376144,30.806038,18.350368
topic,0.6741538,26.64294,19.48684
torture,0.69399774,33.99722,23.362782
tourist,0.6059845,33.921715,27.584835
tower,0.71282125,24.667147,23.49844
tractor,0.78437674,18.905363,17.9089
trailer,0.6518586,36.05084,29.89336
trainer,0.46495312,32.806328,19.410717
transfer,0.49428818,37.87973,26.418055
travel,0.66194284,31.755062,22.982306
traveller,0.7252475,32.976166,32.411667
treatment,0.5102729,40.25839,29.284819
trial,0.7160103,28.960953,30.35638
triumph,0.6233745,35.520935,22.242704
trombone,0.6213403,27.83463,15.678668
trouble,0.70656353,37.727474,31.00342
trumpet,0.6454843,31.976799,26.028006
tulip,0.43235698,40.718674,20.543194
tumble,0.5423235,41.922653,30.825115
tunnel,0.5342895,13.191699,21.124006
turtle,0.6466636,34.707096,22.188847
uncle,0.41064107,33.977196,25.743097
under,0.54542816,32.2037,19.155922
unit,0.30200642,52.7715,24.649021
upright,0.7856913,25.892157,20.354239
upset,0.58851564,25.871958,20.564585
vacuum,0.5973257,27.4944,19.911255
valley,0.68287474,31.624899,20.264185
value,0.6604582,30.643698,22.93289
vapour,0.62558085,34.3598,26.086117
velvet,0.6946985,34.49462,33.66913
vessel,0.6706959,27.559975,20.991116
victim,0.5585744,30.834635,20.786465
village,0.62416923,32.514877,25.717947
virtue,0.6370719,29.592827,21.546
vodka,0.67057383,32.501583,23.094496
volume,0.60722125,36.89082,19.94052
voter,0.5743953,32.319416,20.046095
wallet,0.7075416,34.845943,20.230251
walnut,0.52109635,43.87343,20.907227
walrus,0.6327938,32.18899,21.693117
water,0.61658126,42.039474,21.960543
weather,0.64266324,32.06821,24.312622
welcome,0.64604044,38.18325,19.669376
welfare,0.67086285,34.191624,31.181133
whisker,0.46415037,35.45737,16.746466
whiskey,0.59037817,32.57556,21.127861
whisper,0.5611782,35.46061,19.25323
whistle,0.54210854,32.254177,27.85876
widow,0.61758375,36.894016,22.285158
window,0.4466664,32.352337,19.386591
winter,0.38406804,38.572197,19.019096
wire,0.7213285,32.1172,20.857508
wisdom,0.64514554,31.011784,24.611227
witness,0.5953532,33.809113,18.440445
wizard,0.53342867,39.202488,24.63939
woman,0.5216293,37.18755,20.350325
worker,0.57556194,30.854939,19.594885
writing,0.58406824,33.855022,20.94642
zero,0.60164857,36.45007,27.08947
zipper,0.5491858,23.381628,15.160519
